Quantify Compound Summary Report 

Printed Thu Feb 04 10:40:01 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
23	23	TQS3_210122_154	Blank	6.04	123	353

Compound 18:  Metobromuron

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	5.50	202	85
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	5.47	300403	206689
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	5.47	344334	237737
4	4	TQS3_210122_127	Blank	5.49	376	137
5	5	TQS3_210122_128	20190315_W_1-LC	5.47	730	520
6	6	TQS3_210122_129	20190510_W_1_9-LC	5.47	2547593	1746511
7	7	TQS3_210122_130	20190606_W_1_2-LC	5.47	1085243	752143
8	8	TQS3_210122_131	20190615_W_1_9-LC	5.47	494764	336983
9	9	TQS3_210122_132	20200627_W_1_5-LC	5.48	206617	142324
10	10	TQS3_210122_133	Blank	5.51	28	19
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	5.47	300346	205487
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	5.47	345187	235079
13	13	TQS3_210122_144	Blank	5.51	61	29
14	14	TQS3_210122_145	Std 0 ng/mL	5.50	109	75
15	15	TQS3_210122_146	Std 1.25 ng/mL	5.47	143748	100758
16	16	TQS3_210122_147	Std 3.125 ng/mL	5.47	365030	249082
17	17	TQS3_210122_148	Std 6.25 ng/mL	5.47	728348	503486
18	18	TQS3_210122_149	Std 12.5 ng/mL	5.47	1253703	854556
19	19	TQS3_210122_150	Std 50 ng/mL	5.47	5870489	4022861
20	20	TQS3_210122_151	Blank	5.52	45	66
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	5.47	307130	212323
22	22	TQS3_210122_153	Blank	5.50	140	171
23	23	TQS3_210122_154	Blank	5.52	114	42

Compound 19:  Trinexapac-ethyl

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	5.81	696	338
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	5.81	170057	26504
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	5.81	222677	33477
4	4	TQS3_210122_127	Blank	5.80	1647	338
5	5	TQS3_210122_128	20190315_W_1-LC	5.80	1037	529
6	6	TQS3_210122_129	20190510_W_1_9-LC	5.80	1960	567
7	7	TQS3_210122_130	20190606_W_1_2-LC	5.78	1732	246
8	8	TQS3_210122_131	20190615_W_1_9-LC	5.80	688	145
9	9	TQS3_210122_132	20200627_W_1_5-LC	5.86	691	629
10	10	TQS3_210122_133	Blank	5.80	1019	565
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	5.81	170546	24546
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	5.81	230573	33873
13	13	TQS3_210122_144	Blank	5.81	1314	406
14	14	TQS3_210122_145	Std 0 ng/mL	5.78	893	60
15	15	TQS3_210122_146	Std 1.25 ng/mL	5.81	110322	16693
16	16	TQS3_210122_147	Std 3.125 ng/mL	5.81	241608	35806
17	17	TQS3_210122_148	Std 6.25 ng/mL	5.81	627395	97014
18	18	TQS3_210122_149	Std 12.5 ng/mL	5.81	1107228	167627
19	19	TQS3_210122_150	Std 50 ng/mL	5.81	4666992	709360
20	20	TQS3_210122_151	Blank	5.81	7537	2220
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	5.81	175313	27158
22	22	TQS3_210122_153	Blank	5.81	1644	437
23	23	TQS3_210122_154	Blank	5.83	1589	614

Compound 20:  Metribuzin

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	5.05	14	18
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	4.88	39401	28516
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	4.88	46138	33545
4	4	TQS3_210122_127	Blank	4.90	19	97
5	5	TQS3_210122_128	20190315_W_1-LC	5.07	17	16
6	6	TQS3_210122_129	20190510_W_1_9-LC	4.88	78391	55358
7	7	TQS3_210122_130	20190606_W_1_2-LC	4.87	34204	25062
8	8	TQS3_210122_131	20190615_W_1_9-LC	4.88	24116	18510
9	9	TQS3_210122_132	20200627_W_1_5-LC	4.87	4983	3849
10	10	TQS3_210122_133	Blank	4.88	33	38
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	4.89	40446	28248
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	4.89	44443	32866
13	13	TQS3_210122_144	Blank	4.89	19	10
14	14	TQS3_210122_145	Std 0 ng/mL	4.91	17	19
15	15	TQS3_210122_146	Std 1.25 ng/mL	4.88	17883	13150
16	16	TQS3_210122_147	Std 3.125 ng/mL	4.88	47368	34029
17	17	TQS3_210122_148	Std 6.25 ng/mL	4.88	96517	70437
18	18	TQS3_210122_149	Std 12.5 ng/mL	4.88	176448	125722
19	19	TQS3_210122_150	Std 50 ng/mL	4.89	782479	570276
20	20	TQS3_210122_151	Blank	4.90	53	17
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	4.89	41156	29774
22	22	TQS3_210122_153	Blank	4.91	37	41
23	23	TQS3_210122_154	Blank	4.92	16	35

Compound 21:  Cyflufenamid A

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.60	1341	319
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.60	684335	217577
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.60	782319	248799
4	4	TQS3_210122_127	Blank	7.60	1875	449
5	5	TQS3_210122_128	20190315_W_1-LC	7.62	512	280
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.64	191	363
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.61	429	650
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.64	310	616
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.62	677	717
10	10	TQS3_210122_133	Blank	7.62	585	982
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.60	674246	214228
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.60	820856	258666
13	13	TQS3_210122_144	Blank	7.60	1893	871
14	14	TQS3_210122_145	Std 0 ng/mL			222
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.60	314591	100950
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.60	848722	268918
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.60	1677457	540461
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.60	2938943	924276
19	19	TQS3_210122_150	Std 50 ng/mL	7.60	8434016	4106980
20	20	TQS3_210122_151	Blank	7.60	7848	3586
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.60	699111	226938
22	22	TQS3_210122_153	Blank	7.60	2520	975
23	23	TQS3_210122_154	Blank	7.60	1464	540

Compound 22:  Cyflufenamid B

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.29	207	222
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.29	22401	9041
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.30	23639	9654
4	4	TQS3_210122_127	Blank	7.30	405	174
5	5	TQS3_210122_128	20190315_W_1-LC	7.30	176	430
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.27	60	210
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.32	100	342
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.31	67	294
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.32	335	96
10	10	TQS3_210122_133	Blank	7.30	385	476
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.30	21092	9111
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.30	23729	8812
13	13	TQS3_210122_144	Blank	7.31	168	39
14	14	TQS3_210122_145	Std 0 ng/mL	7.31	464	77
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.30	8998	3505
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.30	26130	10954
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.30	51792	20722
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.30	96640	35601
19	19	TQS3_210122_150	Std 50 ng/mL	7.30	366883	129303
20	20	TQS3_210122_151	Blank	7.29	154	401
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.30	25063	9276
22	22	TQS3_210122_153	Blank	7.30	533	148
23	23	TQS3_210122_154	Blank	7.31	48	85

Compound 23:  Pyraclostrobin

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.56	2078	1223
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.55	613494	577307
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.55	713749	665037
4	4	TQS3_210122_127	Blank	7.55	2452	1808
5	5	TQS3_210122_128	20190315_W_1-LC	7.54	947	424
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.56	817	441
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.57	164	245
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.55	349	185
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.55	820	146
10	10	TQS3_210122_133	Blank	7.57	605	1022
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.55	625736	583519
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.56	716851	666627
13	13	TQS3_210122_144	Blank	7.55	2344	1991
14	14	TQS3_210122_145	Std 0 ng/mL	7.56	1505	1064
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.56	282468	263692
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.55	767310	721280
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.55	1602943	1504001
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.56	2749932	2624532
19	19	TQS3_210122_150	Std 50 ng/mL	7.55	8642370	8423953
20	20	TQS3_210122_151	Blank	7.56	13337	13305
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.56	641772	613240
22	22	TQS3_210122_153	Blank	7.56	3409	2287
23	23	TQS3_210122_154	Blank	7.58	2544	1837

Compound 24:  Prothioconazole

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.45	48	121
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.45	16897	5370
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.45	35952	10005
4	4	TQS3_210122_127	Blank	7.46	209	282
5	5	TQS3_210122_128	20190315_W_1-LC	7.44	423	459
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.48	740	118
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.45	481	152
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.44	350	319
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.45	1124	312
10	10	TQS3_210122_133	Blank	7.48	254	404
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.45	18283	4891
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.45	36446	10904
13	13	TQS3_210122_144	Blank	7.47	280	536
14	14	TQS3_210122_145	Std 0 ng/mL	7.46	655	410
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.44	15005	4502
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.45	39613	11226
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.44	77103	21519
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.45	139953	39594
19	19	TQS3_210122_150	Std 50 ng/mL	7.45	673493	187102
20	20	TQS3_210122_151	Blank	7.46	585	598
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.45	18355	5830
22	22	TQS3_210122_153	Blank	7.46	386	349
23	23	TQS3_210122_154	Blank	7.47	836	89

Compound 25:  Dodine

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.31	1347	403
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.31	177160	57354
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.31	204408	63363
4	4	TQS3_210122_127	Blank	7.30	726	102
5	5	TQS3_210122_128	20190315_W_1-LC	7.31	401	488
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.29	963	147
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.32	954	304
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.30	1310	318
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.31	665	60
10	10	TQS3_210122_133	Blank	7.32	851	225
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.31	187518	61400
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.31	203873	66600
13	13	TQS3_210122_144	Blank	7.31	953	516
14	14	TQS3_210122_145	Std 0 ng/mL	7.31	1106	137
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.31	79440	26426
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.31	242549	72735
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.31	466295	147456
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.31	819711	254114
19	19	TQS3_210122_150	Std 50 ng/mL	7.31	3651444	1043289
20	20	TQS3_210122_151	Blank	7.31	1476	531
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.32	200097	65509
22	22	TQS3_210122_153	Blank	7.30	612	72
23	23	TQS3_210122_154	Blank	7.31	598	346

Compound 26:  Indoxacarb

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.79	315	
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.79	42386	39486
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.79	50276	47095
4	4	TQS3_210122_127	Blank	7.78	381	
5	5	TQS3_210122_128	20190315_W_1-LC	7.83	124	130
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.80	85	
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.76	162	
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.78	39	52
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.79	37	32
10	10	TQS3_210122_133	Blank	7.82	88	
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.80	42750	39708
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.80	48318	45598
13	13	TQS3_210122_144	Blank	7.80	497	60
14	14	TQS3_210122_145	Std 0 ng/mL	7.81	286	
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.80	19206	18301
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.80	50723	48714
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.80	104293	99160
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.80	192615	183965
19	19	TQS3_210122_150	Std 50 ng/mL	7.80	783861	744260
20	20	TQS3_210122_151	Blank	7.79	477	407
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.80	43649	41326
22	22	TQS3_210122_153	Blank	7.81	246	62
23	23	TQS3_210122_154	Blank	7.79	245	

Compound 27:  Trifloxystrobin

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.86	3846	1369
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.87	1397791	480407
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.87	1702463	601714
4	4	TQS3_210122_127	Blank	7.88	6506	2546
5	5	TQS3_210122_128	20190315_W_1-LC	7.86	2278	1064
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.88	2415	1041
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.87	2576	592
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.87	2621	605
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.89	3051	1150
10	10	TQS3_210122_133	Blank	7.88	3619	774
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.87	1378798	481945
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.87	1663884	594228
13	13	TQS3_210122_144	Blank	7.88	6607	2341
14	14	TQS3_210122_145	Std 0 ng/mL	7.87	3999	1119
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.88	702262	248532
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.88	1815432	641049
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.88	3635647	1271927
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.88	6439625	2406419
19	19	TQS3_210122_150	Std 50 ng/mL	7.86	10394261	7964369
20	20	TQS3_210122_151	Blank	7.88	30261	10508
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.88	1420844	494816
22	22	TQS3_210122_153	Blank	7.88	7779	2603
23	23	TQS3_210122_154	Blank	7.88	5636	2265

Compound 28:  Difenoconazole

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.77	1786	554
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.76	473527	285552
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.76	532444	329559
4	4	TQS3_210122_127	Blank	7.76	990	645
5	5	TQS3_210122_128	20190315_W_1-LC	7.77	783	474
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.78	729	332
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.78	154	415
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.75	1345	804
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.76	1345	593
10	10	TQS3_210122_133	Blank	7.77	779	413
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.76	473037	290522
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.76	526139	318784
13	13	TQS3_210122_144	Blank	7.76	1499	798
14	14	TQS3_210122_145	Std 0 ng/mL	7.78	335	314
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.76	216318	133918
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.77	557483	345341
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.76	1155985	704578
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.77	2153938	1324782
19	19	TQS3_210122_150	Std 50 ng/mL	7.76	8427263	5771534
20	20	TQS3_210122_151	Blank	7.77	7568	4096
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.77	490109	301633
22	22	TQS3_210122_153	Blank	7.76	2210	1198
23	23	TQS3_210122_154	Blank	7.77	1795	1032

Compound 29:  Isopyrazam

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.79	1448	597
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.78	685907	378606
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.79	818761	452869
4	4	TQS3_210122_127	Blank	7.78	1345	307
5	5	TQS3_210122_128	20190315_W_1-LC	7.78	1541	529
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.78	9308	5143
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.78	26141	15774
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.78	35758	21392
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.79	8472	4141
10	10	TQS3_210122_133	Blank	7.78	1145	441
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.78	681328	380645
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.78	791083	438499
13	13	TQS3_210122_144	Blank	7.78	681	586
14	14	TQS3_210122_145	Std 0 ng/mL	7.79	585	307
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.79	316606	175132
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.79	843185	466139
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.78	1702775	950454
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.79	3111700	1759994
19	19	TQS3_210122_150	Std 50 ng/mL	7.78	9713925	7103001
20	20	TQS3_210122_151	Blank	7.79	5762	3076
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.79	715629	398446
22	22	TQS3_210122_153	Blank	7.80	1450	1000
23	23	TQS3_210122_154	Blank	7.80	1559	727

Compound 30:  Prosulfocarb

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	8.04	43519	570
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	8.04	1536813	71255
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	8.03	1642278	77342
4	4	TQS3_210122_127	Blank	8.04	39646	1641
5	5	TQS3_210122_128	20190315_W_1-LC	8.04	31051	1466
6	6	TQS3_210122_129	20190510_W_1_9-LC	8.03	396900	18844
7	7	TQS3_210122_130	20190606_W_1_2-LC	8.04	33879	1461
8	8	TQS3_210122_131	20190615_W_1_9-LC	8.03	33562	1467
9	9	TQS3_210122_132	20200627_W_1_5-LC	8.03	42533	2458
10	10	TQS3_210122_133	Blank	8.04	41874	609
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	8.03	1529040	71270
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	8.03	1624122	74137
13	13	TQS3_210122_144	Blank	8.04	44436	558
14	14	TQS3_210122_145	Std 0 ng/mL	8.05	35677	1973
15	15	TQS3_210122_146	Std 1.25 ng/mL	8.04	678269	31761
16	16	TQS3_210122_147	Std 3.125 ng/mL	8.03	1730936	80060
17	17	TQS3_210122_148	Std 6.25 ng/mL	8.03	3472716	165033
18	18	TQS3_210122_149	Std 12.5 ng/mL	8.03	5932325	285170
19	19	TQS3_210122_150	Std 50 ng/mL	8.02	10652019	1318237
20	20	TQS3_210122_151	Blank	8.04	71765	2278
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	8.04	1571835	71398
22	22	TQS3_210122_153	Blank	8.05	44664	1371
23	23	TQS3_210122_154	Blank	8.05	43634	734

Compound 31:  Pendimethalin

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	9.40	17865	1125
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	9.39	406069	9315
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	9.39	64098	1051
4	4	TQS3_210122_127	Blank	9.40	16569	1419
5	5	TQS3_210122_128	20190315_W_1-LC	9.39	61645	2002
6	6	TQS3_210122_129	20190510_W_1_9-LC	9.39	64532	1373
7	7	TQS3_210122_130	20190606_W_1_2-LC	9.39	68436	1434
8	8	TQS3_210122_131	20190615_W_1_9-LC	9.39	63109	1376
9	9	TQS3_210122_132	20200627_W_1_5-LC	9.40	64745	1294
10	10	TQS3_210122_133	Blank	9.40	14241	1103
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	9.40	415121	7886
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	9.40	62787	1461
13	13	TQS3_210122_144	Blank	9.40	16751	2871
14	14	TQS3_210122_145	Std 0 ng/mL	9.40	51555	1922
15	15	TQS3_210122_146	Std 1.25 ng/mL	9.40	52215	1347
16	16	TQS3_210122_147	Std 3.125 ng/mL	9.40	65698	1504
17	17	TQS3_210122_148	Std 6.25 ng/mL	9.40	61168	1270
18	18	TQS3_210122_149	Std 12.5 ng/mL	9.40	67758	1332
19	19	TQS3_210122_150	Std 50 ng/mL	9.40	111228	2243
20	20	TQS3_210122_151	Blank	9.41	16258	1299
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	9.40	421714	8317
22	22	TQS3_210122_153	Blank	9.41	16638	1189
23	23	TQS3_210122_154	Blank	9.41	17132	2664

Compound 32:  Bixafen

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	7.15	1040	722
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.15	348438	233779
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.15	402191	269107
4	4	TQS3_210122_127	Blank	7.16	775	411
5	5	TQS3_210122_128	20190315_W_1-LC	7.15	2307	1673
6	6	TQS3_210122_129	20190510_W_1_9-LC	7.16	3391	2227
7	7	TQS3_210122_130	20190606_W_1_2-LC	7.15	16598	11317
8	8	TQS3_210122_131	20190615_W_1_9-LC	7.15	26846	17305
9	9	TQS3_210122_132	20200627_W_1_5-LC	7.15	6767	4619
10	10	TQS3_210122_133	Blank	7.13	392	63
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.15	348045	231359
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.15	409359	269790
13	13	TQS3_210122_144	Blank	7.15	898	363
14	14	TQS3_210122_145	Std 0 ng/mL	7.15	175	115
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.15	155330	104392
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.15	459446	308202
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.15	849511	569773
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.15	1488888	987570
19	19	TQS3_210122_150	Std 50 ng/mL	7.15	6551939	4425715
20	20	TQS3_210122_151	Blank	7.15	3237	1540
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.16	376246	249572
22	22	TQS3_210122_153	Blank	7.17	835	532
23	23	TQS3_210122_154	Blank	7.16	857	413

Compound 33:  Carfentrazone-ethyl

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank			
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	7.28	181519	111730
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	7.28	183726	117557
4	4	TQS3_210122_127	Blank	7.28	307	134
5	5	TQS3_210122_128	20190315_W_1-LC			
6	6	TQS3_210122_129	20190510_W_1_9-LC			
7	7	TQS3_210122_130	20190606_W_1_2-LC			
8	8	TQS3_210122_131	20190615_W_1_9-LC			
9	9	TQS3_210122_132	20200627_W_1_5-LC			
10	10	TQS3_210122_133	Blank			
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	7.28	171212	108945
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	7.29	192100	126648
13	13	TQS3_210122_144	Blank	7.29	144	164
14	14	TQS3_210122_145	Std 0 ng/mL	7.28	81	203
15	15	TQS3_210122_146	Std 1.25 ng/mL	7.29	72645	44306
16	16	TQS3_210122_147	Std 3.125 ng/mL	7.28	217793	139515
17	17	TQS3_210122_148	Std 6.25 ng/mL	7.28	464149	288056
18	18	TQS3_210122_149	Std 12.5 ng/mL	7.29	803566	511415
19	19	TQS3_210122_150	Std 50 ng/mL	7.28	3067416	2006853
20	20	TQS3_210122_151	Blank	7.29	1266	1150
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	7.29	206817	133558
22	22	TQS3_210122_153	Blank	7.30	295	81
23	23	TQS3_210122_154	Blank	7.30	285	221

Compound 34:  Epoxiconazole

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.98	1694	1069
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.97	436247	143542
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.98	502826	170020
4	4	TQS3_210122_127	Blank	6.97	1821	138
5	5	TQS3_210122_128	20190315_W_1-LC	6.97	1717	393
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.97	6694	2455
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.97	12728	4636
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.97	18251	6031
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.97	8316	3277
10	10	TQS3_210122_133	Blank	6.99	1118	562
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.98	437923	143461
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.97	484523	161452
13	13	TQS3_210122_144	Blank	6.99	874	445
14	14	TQS3_210122_145	Std 0 ng/mL	6.99	820	739
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.98	201961	66721
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.98	530141	180001
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.98	1125688	371396
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.97	1850665	613754
19	19	TQS3_210122_150	Std 50 ng/mL	6.98	7775295	2964890
